SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IS5108","2016-08-12 12:00","S.SURFACE","0","-0.03","<","1","0.31","1","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0027",""
"ON02IS5434","2016-08-12 12:00","S.SURFACE","0","-0.03","<","1.2","0.35","1.2","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0028",""
"ON02IS5436","2016-08-07 06:00","S.SURFACE","0","-0.03","<","1.6","0.48","1.6","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0029",""
"ON02IS5437","2016-08-07 08:00","S.SURFACE","0","-0.03","<","1.2","0.36","1.2","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0030",""
"ON02IS5416","2016-08-07 16:30","S.SURFACE","0","-0.03","<","0.94","0.28","0.94","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0031",""
"ON02IS5417","2016-08-12 12:00","S.SURFACE","0","-0.03","<","1.3","0.39","1.3","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0032",""
"ON02IS5418","2016-08-12 12:00","S.SURFACE","0","-0.03","<","1.3","0.39","1.3","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0033",""
"ON02IS5419","2016-08-11 22:30","S.SURFACE","0","-0.03","<","1.5","0.44","1.5","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0034",""
"ON02IS5421","2016-08-07 23:30","S.SURFACE","0","-0.03","<","1.4","0.41","1.4","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0035",""
"ON02IS5422","2016-08-07 21:30","S.SURFACE","0","-0.03","<","3.8","1.1","3.8","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0036",""
"ON02IS5058","2016-08-08 02:15","S.SURFACE","0","-0.03","<","3.6","1.1","3.6","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0037",""
"ON02IS5028","2016-08-11 17:00","S.SURFACE","0","-0.03","<","3.3","0.98","3.3","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0038",""
"ON02IS5423","2016-08-11 13:00","S.SURFACE","0","-0.03","<","3.4","1","3.4","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0039",""
"ON02IS9321","2016-08-11 10:00","S.SURFACE","0","-0.03","<","4.3","1.3","4.3","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0040",""
"ON02IS5003","2016-08-08 17:00","S.SURFACE","0","-0.03","<","3","0.9","3","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0041",""
"ON02IS5425","2016-08-08 15:45","S.SURFACE","0","-0.03","<","4.6","1.4","4.6","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0042",""
"ON02IS5031","2016-08-08 09:00","S.SURFACE","0","-0.03","<","4.3","1.3","4.3","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0043",""
"ON02IS5044","2016-08-11 20:00","S.SURFACE","0","-0.03","<","4.2","1.3","4.2","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0044",""
