SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IO5018","2022-10-17 09:30","S.CORE","-0.06","-0.07","<","0.1","0.1","0.03","49338","NG/L","PHOSMET","PHOSMET","P","2022-ON0249-0007","QKA0031"
"ON02IO5018","2022-10-17 09:30","S.CORE","-0.07","-0.08","<","0.084","0.084","0.025","49338","NG/L","PHOSMET","PHOSMET","P","2022-ON0249-0008","QKA0031"
"ON02IO5018","2022-10-17 09:30","S.CORE","-0.08","-0.09","<","0.088","0.088","0.026","49338","NG/L","PHOSMET","PHOSMET","P","2022-ON0249-0009","QKA0031"
"ON02IO5018","2022-10-17 09:30","S.CORE","-0.09","-0.1","<","0.14","0.14","0.043","49338","NG/L","PHOSMET","PHOSMET","P","2022-ON0249-0010","QKA0031"
"ON02IO5018","2022-10-17 09:30","S.CORE","-0.1","-0.11","<","0.086","0.086","0.026","49338","NG/L","PHOSMET","PHOSMET","P","2022-ON0249-0011","QKA0031"
"ON02IO5018","2022-10-17 09:30","S.CORE","-0.11","-0.12","<","0.07","0.07","0.021","49338","NG/L","PHOSMET","PHOSMET","P","2022-ON0249-0012","QKA0031"
"ON02IO5018","2022-10-17 09:30","S.CORE","-0.12","-0.13","<","0.14","0.14","0.043","49338","NG/L","PHOSMET","PHOSMET","P","2022-ON0249-0013","QKA0032"
"ON02IO5018","2022-10-17 09:30","S.CORE","-0.13","-0.14","<","0.19","0.19","0.058","49338","NG/L","PHOSMET","PHOSMET","P","2022-ON0249-0014","QKA0032"
"ON02IO5018","2022-10-17 09:30","S.CORE","-0.14","-0.15","<","0.25","0.25","0.074","49338","NG/L","PHOSMET","PHOSMET","P","2022-ON0249-0015","QKA0032"
"ON02IO5018","2022-10-17 09:30","S.CORE","-0.15","-0.17","<","0.17","0.17","0.05","49338","NG/L","PHOSMET","PHOSMET","P","2022-ON0249-0016","QKA0032"
"ON02IO5018","2022-10-17 09:30","S.CORE","-0.17","-0.19","<","0.13","0.13","0.038","49338","NG/L","PHOSMET","PHOSMET","P","2022-ON0249-0017","QKA0032"
"ON02IO5018","2022-10-17 09:30","S.CORE","-0.19","-0.21","<","0.12","0.12","0.036","49338","NG/L","PHOSMET","PHOSMET","P","2022-ON0249-0018","QKA0032"
