SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IS5449","2016-08-04 03:00","S.SURFACE","0","-0.03","<","0.0086","0.0086","0.026","9365","NG/G DWT","OCTABROMOTRIMETHYLPHENYLINDANE (OBIND)","OCTABROMOTRIMÉTHYLPHÉNYLINDANE (OBIND)","V","2016-ON0249-0003",""
"ON02IS5444","2016-08-05 22:00","S.CORE","-0.07","-0.08","<","0.0089","0.0089","0.03","9365","NG/G DWT","OCTABROMOTRIMETHYLPHENYLINDANE (OBIND)","OCTABROMOTRIMÉTHYLPHÉNYLINDANE (OBIND)","V","2016-ON0249-0082",""
"ON02IS5439","2016-08-06 10:30","S.SURFACE","0","-0.03","<","0.009","0.009","0.03","9355","NG/G DWT","2-BROMOALLYL 2,4,6-TRIBROMOPHENYL ETHER (BATE)","2-BROMOALLYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (BATE)","V","2016-ON0249-0020",""
"ON02IS5444","2016-08-05 22:00","S.CORE","-0.11","-0.12","","0.0092","0.0031","0.01","49409","NG/G","2,2',4,4',5,5' -HEXABROMOBIPHENYL (HBB 153)","2,2',4,4',5,5' -HEXABROMOBIPHÉNYLE (HBB 153)","V","2016-ON0249-0072",""
"ON02IS5444","2016-08-05 22:00","S.CORE","-0.13","-0.14","<","0.0092","0.0092","0.031","9355","NG/G DWT","2-BROMOALLYL 2,4,6-TRIBROMOPHENYL ETHER (BATE)","2-BROMOALLYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (BATE)","V","2016-ON0249-0075",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.1","-0.11","<","0.0092","0.0092","0.031","49409","NG/G","2,2',4,4',5,5' -HEXABROMOBIPHENYL (HBB 153)","2,2',4,4',5,5' -HEXABROMOBIPHÉNYLE (HBB 153)","V","2016-ON0249-0086",""
"ON02IS5444","2016-08-05 22:00","S.CORE","-0.12","-0.13","<","0.0094","0.0094","0.031","9365","NG/G DWT","OCTABROMOTRIMETHYLPHENYLINDANE (OBIND)","OCTABROMOTRIMÉTHYLPHÉNYLINDANE (OBIND)","V","2016-ON0249-0073",""
"ON02IS5425","2016-08-08 15:45","S.SURFACE","0","-0.03","<","0.0095","0.0095","0.038","9365","NG/G DWT","OCTABROMOTRIMETHYLPHENYLINDANE (OBIND)","OCTABROMOTRIMÉTHYLPHÉNYLINDANE (OBIND)","V","2016-ON0249-0042",""
"ON02IS5444","2016-08-05 22:00","S.CORE","0","-0.01","<","0.0097","0.0097","0.034","9358","NG/G DWT","ALLYL 2,4,6-TRIBROMOPHENYL ETHER (ATE)","ALLYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (ATE)","V","2016-ON0249-0070",""
"ON02IS5444","2016-08-05 22:00","S.CORE","0","-0.01","<","0.0097","0.0097","0.039","9365","NG/G DWT","OCTABROMOTRIMETHYLPHENYLINDANE (OBIND)","OCTABROMOTRIMÉTHYLPHÉNYLINDANE (OBIND)","V","2016-ON0249-0070",""
