SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IS5175","2016-08-13 12:00","S.SURFACE","0","-0.03","<","0.19","0.057","0.19","39752","NG/G","O,P'-DDD (MITOTANE) (2,4'-DDD)","O,P'-DDD (MITOTANE) (2,4'-DDD)","P","2016-ON0249-0049",""
"ON02IS5450","2016-08-03 19:55","S.SURFACE","0","-0.03","<","0.82","0.25","0.82","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0001",""
"ON02IS5455","2016-08-03 23:00","S.SURFACE","0","-0.03","<","1.3","0.39","1.3","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0002",""
"ON02IS5449","2016-08-04 03:00","S.SURFACE","0","-0.03","<","1.2","0.35","1.2","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0003",""
"ON02IS5451","2016-08-04 06:00","S.SURFACE","0","-0.03","<","0.73","0.22","0.73","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0004",""
"ON02IS5452","2016-08-15 12:00","S.SURFACE","0","-0.03","<","0.84","0.25","0.84","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0005",""
"ON02IS5453","2016-08-15 12:00","S.SURFACE","0","-0.03","<","0.61","0.18","0.61","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0006",""
"ON02IS5454","2016-08-16 12:00","S.SURFACE","0","-0.03","<","1.4","0.42","1.4","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0007",""
"ON02IS5456","2016-08-04 20:15","S.SURFACE","0","-0.03","<","0.85","0.25","0.85","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0008",""
"ON02IS5442","2016-08-05 12:15","S.SURFACE","0","-0.03","<","1.1","0.32","1.1","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0009",""
"ON02IS5443","2016-08-05 18:15","S.SURFACE","0","-0.03","<","0.68","0.2","0.68","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0010",""
"ON02IS5444","2016-08-05 22:00","S.SURFACE","0","-0.03","<","1.3","0.38","1.3","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0011",""
"ON02IS5445","2016-08-14 12:00","S.SURFACE","0","-0.03","<","0.89","0.27","0.89","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0012",""
"ON02IS5446","2016-08-14 12:00","S.SURFACE","0","-0.03","<","1.1","0.32","1.1","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0013",""
"ON02IS5447","2016-08-14 12:00","S.SURFACE","0","-0.03","<","1.2","0.36","1.2","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0100",""
"ON02IS5448","2016-08-14 12:00","S.SURFACE","0","-0.03","<","2.5","0.75","2.5","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0014",""
"ON02IS5426","2016-08-14 12:00","S.SURFACE","0","-0.03","<","1.2","0.36","1.2","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0015",""
"ON02IS5174","2016-08-13 12:00","S.SURFACE","0","-0.03","<","0.48","0.14","0.48","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0016",""
"ON02IS5427","2016-08-13 12:00","S.SURFACE","0","-0.03","<","0.55","0.16","0.55","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0017",""
