SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IS5395","2016-08-15 12:00","S.SURFACE","0","-0.03","","46","0.058","0.19","58268","%","MONOOCTYL-MONOSTYRENATED-DIPHENYLAMINE 2-D8","MONOOCTYL-MONOSTYRÉNÉE-DIPHÉNYLAMINE 2-D8","V","2016-ON0249-0067","QEH0012"
"ON02IS5400","2016-08-16 12:00","S.SURFACE","0","-0.03","<","0.75","0.75","3.8","58251","NG/G DWT","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","V","2016-ON0249-0068","QEH0012"
"ON02IS5400","2016-08-16 12:00","S.SURFACE","0","-0.03","<","0.45","0.45","1.5","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","V","2016-ON0249-0068","QEH0012"
"ON02IS5400","2016-08-16 12:00","S.SURFACE","0","-0.03","<","0.38","0.38","1.5","58259","NG/G DWT","DINONYL-DIPHENYLAMINE (C9C9)","DINONYL-DIPHENYLAMINE (C9C9)","V","2016-ON0249-0068","QEH0012"
"ON02IS5433","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.52","0.52","1.7","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","V","2016-ON0249-0025","QEH0010"
"ON02IS5433","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.17","0.17","0.61","58259","NG/G DWT","DINONYL-DIPHENYLAMINE (C9C9)","DINONYL-DIPHENYLAMINE (C9C9)","V","2016-ON0249-0025","QEH0010"
"ON02IS5433","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.17","0.17","0.7","58248","NG/G DWT","DIOCTYL DPA / BNST + VANLUBE (C8C8/BNST 4)","DIOCTYL DPA / BNST + VANLUBE (C8C8/BNST4)","V","2016-ON0249-0025","QEH0010"
"ON02IS5433","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.26","0.26","0.87","58244","NG/G DWT","MONOSTYRENATED-DIPHENYLAMINE 2 (BNST 2B)","DIPHÉNYLAMINE MONOSTYRÉNÉE 2 (BNST 2B)","V","2016-ON0249-0025","QEH0010"
"ON02IS5433","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.52","0.52","1.7","58256","NG/G DWT","PHENYL-TOLYL PPD / BENPAT (BENPAT 2)","PHÉNYL-TOLYL PPD / BENPAT (BENPAT 2)","V","2016-ON0249-0025","QEH0010"
"ON02IS5433","2016-08-12 12:00","S.SURFACE","0","-0.03","","2.8","0.79","2.6","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","V","2016-ON0249-0025","QEH0010"
"ON02IS5433","2016-08-12 12:00","S.SURFACE","0","-0.03","","49.8","0.029","0.096","58269","%","DIOCTYL DPA-D8","DIOCTYL DPA-D8","V","2016-ON0249-0025","QEH0010"
"ON02IS5158","2016-08-12 12:00","S.SURFACE","0","-0.03","<","7.9","7.9","2","58251","NG/G DWT","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","V","2016-ON0249-0026","QEH0007"
"ON02IS5158","2016-08-12 12:00","S.SURFACE","0","-0.03","<","4.9","4.9","2","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","V","2016-ON0249-0026","QEH0007"
"ON02IS5158","2016-08-12 12:00","S.SURFACE","0","-0.03","<","4.9","4.9","2","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","V","2016-ON0249-0026","QEH0007"
"ON02IS5158","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.89","0.89","0.3","58259","NG/G DWT","DINONYL-DIPHENYLAMINE (C9C9)","DINONYL-DIPHENYLAMINE (C9C9)","V","2016-ON0249-0026","QEH0007"
"ON02IS5158","2016-08-12 12:00","S.SURFACE","0","-0.03","<","3","3","0.79","58247","NG/G DWT","MONOOCTYL-MONOSTYRENATED-DIPHENYLAMINE 3 (BNST 3C)","MONOOCTYL-MONOSTYRÉNÉE-DIPHÉNYLAMINE 3 (BNST 3C)","V","2016-ON0249-0026","QEH0007"
"ON02IS5158","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.99","0.99","0.3","58243","NG/G DWT","MONOSTYRENATED-DIPHENYLAMINE 1 (BNST 2A)","DIPHÉNYLAMINE MONOSTYRÉNÉE 1 (BNST 2A)","V","2016-ON0249-0026","QEH0007"
"ON02IS5158","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.99","0.99","0.39","58244","NG/G DWT","MONOSTYRENATED-DIPHENYLAMINE 2 (BNST 2B)","DIPHÉNYLAMINE MONOSTYRÉNÉE 2 (BNST 2B)","V","2016-ON0249-0026","QEH0007"
"ON02IS5158","2016-08-12 12:00","S.SURFACE","0","-0.03","<","2","2","0.59","58256","NG/G DWT","PHENYL-TOLYL PPD / BENPAT (BENPAT 2)","PHÉNYL-TOLYL PPD / BENPAT (BENPAT 2)","V","2016-ON0249-0026","QEH0007"
"ON02IS5108","2016-08-12 12:00","S.SURFACE","0","-0.03","<","1","1","3.4","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","V","2016-ON0249-0027","QEH0010"
"ON02IS5108","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.34","0.34","1.1","58259","NG/G DWT","DINONYL-DIPHENYLAMINE (C9C9)","DINONYL-DIPHENYLAMINE (C9C9)","V","2016-ON0249-0027","QEH0010"
"ON02IS5108","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.34","0.34","1","58248","NG/G DWT","DIOCTYL DPA / BNST + VANLUBE (C8C8/BNST 4)","DIOCTYL DPA / BNST + VANLUBE (C8C8/BNST4)","V","2016-ON0249-0027","QEH0010"
"ON02IS5108","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.46","0.46","1.1","58256","NG/G DWT","PHENYL-TOLYL PPD / BENPAT (BENPAT 2)","PHÉNYL-TOLYL PPD / BENPAT (BENPAT 2)","V","2016-ON0249-0027","QEH0010"
"ON02IS5108","2016-08-12 12:00","S.SURFACE","0","-0.03","","48.9","0.041","0.14","58269","%","DIOCTYL DPA-D8","DIOCTYL DPA-D8","V","2016-ON0249-0027","QEH0010"
"ON02IS5108","2016-08-12 12:00","S.SURFACE","0","-0.03","","41.2","0.15","0.52","58271","%","DIOCTYL-MONOSTYRENATED DPA-D9","DIOCTYL-MONOSTYRÉNÉE DPA-D9","V","2016-ON0249-0027","QEH0010"
"ON02IS5108","2016-08-12 12:00","S.SURFACE","0","-0.03","","47.5","11","36","58264","%","DIPHENYLAMINE-D7","DIPHÉNYLAMINE-D7","V","2016-ON0249-0027","QEH0010"
"ON02IS5400","2016-08-16 12:00","S.SURFACE","0","-0.03","<","0.3","0.3","0.75","58250","NG/G DWT","ISOPROPYL DPA / PREPOD (PREPOD A)","ISOPROPYL DPA / PREPOD (PREPOD A)","V","2016-ON0249-0068","QEH0012"
"ON02IS5400","2016-08-16 12:00","S.SURFACE","0","-0.03","<","0.53","0.53","1.5","58256","NG/G DWT","PHENYL-TOLYL PPD / BENPAT (BENPAT 2)","PHÉNYL-TOLYL PPD / BENPAT (BENPAT 2)","V","2016-ON0249-0068","QEH0012"
"ON02IS5400","2016-08-16 12:00","S.SURFACE","0","-0.03","","57","0.047","0.16","58268","%","MONOOCTYL-MONOSTYRENATED-DIPHENYLAMINE 2-D8","MONOOCTYL-MONOSTYRÉNÉE-DIPHÉNYLAMINE 2-D8","V","2016-ON0249-0068","QEH0012"
"ON02IS5400","2016-08-16 12:00","S.SURFACE","0","-0.03","","58.2","0.11","0.36","58265","%","MONOSTYRENATED-DIPHENYLAMINE 1-D7","MONOSTYRÉNÉE-DIPHÉNYLAMINE 1-D7","V","2016-ON0249-0068","QEH0012"
"ON02IS5407","2016-08-07 19:15","S.SURFACE","0","-0.03","<","0.69","0.69","2.3","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","V","2016-ON0249-0069","QEH0012"
