SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","4.4","","","5905","%","0.016-0.031 MM","0.016-0.031 MM","P","2014-ON0249-0093",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","1.7","","","5906","%","0.031-0.062 MM","0.031-0.062 MM","P","2014-ON0249-0093",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","1.2","","","5907","%","0.062-0.125 MM","0.062-0.125 MM","P","2014-ON0249-0093",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","0.4","","","5908","%","0.125-0.250 MM","0.125-0.250 MM","P","2014-ON0249-0093",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","0","","","5909","%","0.250-0.500 MM","0.250-0.500 MM","P","2014-ON0249-0093",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","0","","","5910","%","0.500-1.000 MM","0.500-1.000 MM","P","2014-ON0249-0093",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","0","","","5911","%","COURSE SAND (GRAIN SIZE 1.00-2.00 MM)","SABLE GROSSIER (GRA""OMÉTRIE 1,00-2,00 MM)","P","2014-ON0249-0093",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","49.5","","","5912","%","CLAY %","ARGILE %","P","2014-ON0249-0104",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","37.3","","","5931","%","SILT %","LIMON %","P","2014-ON0249-0104",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","13.2","","","5930","%","SAND %","SABLE %","P","2014-ON0249-0104",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","0.2","","","5896","%","0.00003-0.00006 MM","0.00003-0.00006 MM","P","2014-ON0249-0104",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","2.1","","","5897","%","0.00006-0.00012 MM","0.00006-0.00012 MM","P","2014-ON0249-0104",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","3","","","5898","%","0.00012-0.00024 MM","0.00012-0.00024 MM","P","2014-ON0249-0104",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","2.2","","","5899","%","0.00024-0.0005 MM","0.00024-0.0005 MM","P","2014-ON0249-0104",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","3","","","5900","%","0.0005-0.001 MM","0.0005-0.001 MM","P","2014-ON0249-0104",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","14","","","5901","%","0.001-0.002 MM","0.001-0.002 MM","P","2014-ON0249-0104",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","25.1","","","5902","%","0.002-0.004 MM","0.002-0.004 MM","P","2014-ON0249-0104",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","25.7","","","5903","%","0.004-0.008 MM","0.004-0.008 MM","P","2014-ON0249-0104",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","10.5","","","5904","%","0.008-0.016 MM","0.008-0.016 MM","P","2014-ON0249-0104",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","0.7","","","5905","%","0.016-0.031 MM","0.016-0.031 MM","P","2014-ON0249-0104",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","0.2","","","5906","%","0.031-0.062 MM","0.031-0.062 MM","P","2014-ON0249-0104",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","3.6","","","5907","%","0.062-0.125 MM","0.062-0.125 MM","P","2014-ON0249-0104",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","9.5","","","5908","%","0.125-0.250 MM","0.125-0.250 MM","P","2014-ON0249-0104",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","0.2","","","5909","%","0.250-0.500 MM","0.250-0.500 MM","P","2014-ON0249-0104",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","0","","","5910","%","0.500-1.000 MM","0.500-1.000 MM","P","2014-ON0249-0104",""
"ON02IE5046","2014-07-21 00:00","S.SURFACE","0","-0.03","","0","","","5911","%","COURSE SAND (GRAIN SIZE 1.00-2.00 MM)","SABLE GROSSIER (GRA""OMÉTRIE 1,00-2,00 MM)","P","2014-ON0249-0104",""
"ON02IE1569","2014-07-21 00:00","S.SURFACE","0","-0.03","","43.7","","","5912","%","CLAY %","ARGILE %","P","2014-ON0249-0094",""
"ON02IE1569","2014-07-21 00:00","S.SURFACE","0","-0.03","","54.7","","","5931","%","SILT %","LIMON %","P","2014-ON0249-0094",""
"ON02IE1569","2014-07-21 00:00","S.SURFACE","0","-0.03","","1.6","","","5930","%","SAND %","SABLE %","P","2014-ON0249-0094",""
"ON02IE1569","2014-07-21 00:00","S.SURFACE","0","-0.03","","0.7","","","5896","%","0.00003-0.00006 MM","0.00003-0.00006 MM","P","2014-ON0249-0094",""
"ON02IE1569","2014-07-21 00:00","S.SURFACE","0","-0.03","","6.1","","","5897","%","0.00006-0.00012 MM","0.00006-0.00012 MM","P","2014-ON0249-0094",""
"ON02IE1569","2014-07-21 00:00","S.SURFACE","0","-0.03","","4.8","","","5898","%","0.00012-0.00024 MM","0.00012-0.00024 MM","P","2014-ON0249-0094",""
"ON02IE1569","2014-07-21 00:00","S.SURFACE","0","-0.03","","2.9","","","5899","%","0.00024-0.0005 MM","0.00024-0.0005 MM","P","2014-ON0249-0094",""
"ON02IE1569","2014-07-21 00:00","S.SURFACE","0","-0.03","","3.8","","","5900","%","0.0005-0.001 MM","0.0005-0.001 MM","P","2014-ON0249-0094",""
"ON02IE1569","2014-07-21 00:00","S.SURFACE","0","-0.03","","11.5","","","5901","%","0.001-0.002 MM","0.001-0.002 MM","P","2014-ON0249-0094",""
"ON02IE1569","2014-07-21 00:00","S.SURFACE","0","-0.03","","14","","","5902","%","0.002-0.004 MM","0.002-0.004 MM","P","2014-ON0249-0094",""
"ON02IE1569","2014-07-21 00:00","S.SURFACE","0","-0.03","","16.1","","","5903","%","0.004-0.008 MM","0.004-0.008 MM","P","2014-ON0249-0094",""
"ON02IE1569","2014-07-21 00:00","S.SURFACE","0","-0.03","","19.2","","","5904","%","0.008-0.016 MM","0.008-0.016 MM","P","2014-ON0249-0094",""
"ON02IE1569","2014-07-21 00:00","S.SURFACE","0","-0.03","","14.1","","","5905","%","0.016-0.031 MM","0.016-0.031 MM","P","2014-ON0249-0094",""
